YR    MON  NINO12   ANOM   NINO3    ANOM1  NINO4   ANOM2   NINO34   ANOM3
1950   1   23.49   -1.00   23.97   -1.64   27.41    -.73   25.01   -1.50
1950   2   24.56   -1.49   24.51   -1.85   26.77   -1.24   24.92   -1.77
1950   3   25.59    -.89   26.65    -.43   27.00   -1.09   26.41    -.73
1950   4   23.84   -1.62   26.65    -.76   27.12   -1.28   26.75    -.94
1950   5   23.41    -.93   25.91   -1.14   27.72    -.92   26.30   -1.47
1950   6   21.70   -1.32   25.64    -.74   27.85    -.79   26.79    -.70
1950   7   20.74   -1.11   25.17    -.41   27.84    -.73   26.59    -.48
1950   8   20.52    -.30   24.51    -.44   27.54    -.91   26.11    -.59
1950   9   19.82    -.65   24.12    -.71   27.12   -1.37   25.56   -1.09
1950  10   20.19    -.72   24.32    -.57   27.64    -.77   26.03    -.57
1950  11   20.46   -1.22   23.80   -1.15   27.13   -1.23   25.42   -1.09
1950  12   21.92    -.92   24.44    -.64   27.27   -1.01   25.54    -.93
1951   1   25.13     .65   25.10    -.51   27.34    -.79   25.47   -1.04
1951   2   25.44    -.60   26.55     .20   26.91   -1.09   26.62    -.07
1951   3   25.90    -.58   26.58    -.50   27.29    -.80   26.44    -.70
1951   4   25.29    -.18   27.67     .27   27.94    -.47   27.74     .05
1951   5   24.90     .57   27.04    -.02   28.31    -.33   27.54    -.22
1951   6   24.56    1.54   26.46     .09   29.30     .66   27.53     .04
1951   7   24.04    2.19   26.54     .96   28.48    -.09   27.48     .41
1951   8   22.43    1.61   25.96    1.01   28.68     .23   27.44     .74
1951   9   21.52    1.05   25.45     .62   28.43    -.06   27.02     .38
1951  10   22.20    1.29   25.88     .99   28.51     .10   27.40     .80
1951  11   22.90    1.22   25.96    1.01   28.87     .51   27.31     .80
1951  12   23.01     .18   25.99     .91   28.36     .08   27.19     .72
1952   1   24.47    -.01   25.91     .29   28.43     .29   26.88     .37
1952   2   26.42     .38   26.69     .34   28.14     .13   27.03     .34
1952   3   26.51     .03   26.95    -.14   27.99    -.11   26.89    -.26
1952   4   24.54    -.92   27.56     .16   28.66     .25   28.12     .43
1952   5   23.69    -.64   26.64    -.42   28.66     .01   27.58    -.18
1952   6   22.35    -.67   25.75    -.62   28.58    -.06   27.06    -.43
1952   7   20.74   -1.11   25.12    -.46   28.17    -.40   26.82    -.26
1952   8   19.95    -.87   24.85    -.10   28.56     .11   26.83     .13
1952   9   20.12    -.35   24.59    -.24   28.38    -.10   26.49    -.15
1952  10   20.45    -.46   24.62    -.27   28.50     .09   26.70     .10
1952  11   20.72    -.96   24.53    -.42   28.13    -.23   26.37    -.15
1952  12   22.53    -.30   24.45    -.63   28.16    -.12   25.99    -.48
1953   1   24.19    -.30   25.92     .30   28.57     .43   27.02     .51
1953   2   26.33     .29   26.81     .45   28.17     .16   27.09     .39
1953   3   27.21     .73   27.41     .32   28.06    -.03   27.41     .27
1953   4   26.85    1.38   28.23     .82   28.58     .17   28.40     .71
1953   5   25.24     .90   27.44     .38   28.49    -.16   27.90     .14
1953   6   23.74     .72   26.90     .53   28.64     .00   27.87     .38
1953   7   22.45     .60   26.04     .46   28.89     .32   27.65     .58
1953   8   21.68     .86   25.12     .17   28.61     .16   26.82     .12
1953   9   21.49    1.03   25.69     .86   28.75     .26   27.46     .81
1953  10   21.08     .17   25.13     .24   28.35    -.05   26.91     .31
1953  11   22.07     .39   25.28     .32   28.59     .23   26.94     .43
1953  12   22.47    -.37   25.36     .27   27.64    -.64   26.43    -.05
1954   1   23.06   -1.43   25.77     .15   28.55     .41   27.08     .57
1954   2   25.22    -.82   26.40     .04   28.03     .03   26.95     .26
1954   3   25.83    -.65   27.05    -.03   28.10     .00   27.36     .21
1954   4   23.05   -2.41   26.25   -1.15   28.34    -.07   27.38    -.30
1954   5   21.79   -2.54   26.02   -1.04   28.58    -.07   27.46    -.30
1954   6   21.02   -2.00   25.33   -1.04   28.30    -.34   27.06    -.43
1954   7   19.89   -1.96   24.46   -1.12   28.00    -.58   26.32    -.76
1954   8   19.78   -1.04   23.73   -1.22   28.02    -.43   25.65   -1.06
1954   9   19.23   -1.24   23.75   -1.08   27.64    -.84   25.55   -1.09
1954  10   19.20   -1.71   23.82   -1.07   27.89    -.52   25.80    -.80
1954  11   20.47   -1.22   24.06    -.89   27.31   -1.05   25.65    -.87
1954  12   21.25   -1.59   24.13    -.95   27.14   -1.14   25.53    -.95
1955   1   23.70    -.78   24.58   -1.03   26.90   -1.24   25.12   -1.39
1955   2   24.64   -1.41   26.26    -.10   26.88   -1.13   26.27    -.42
1955   3   25.51    -.97   26.28    -.81   27.33    -.76   26.31    -.83
1955   4   24.34   -1.12   26.90    -.51   27.42    -.99   27.01    -.67
1955   5   22.53   -1.81   25.58   -1.48   27.75    -.90   26.66   -1.11
1955   6   21.12   -1.90   25.32   -1.06   28.08    -.56   26.72    -.78
1955   7   20.56   -1.29   24.93    -.66   27.82    -.75   26.39    -.69
1955   8   19.75   -1.06   24.19    -.76   27.54    -.91   25.92    -.78
1955   9   19.47   -1.00   23.10   -1.73   27.70    -.78   25.01   -1.63
1955  10   19.35   -1.56   23.21   -1.67   26.62   -1.78   24.83   -1.77
1955  11   20.00   -1.69   22.70   -2.25   26.86   -1.50   24.34   -2.18
1955  12   21.10   -1.74   23.60   -1.48   27.11   -1.17   25.05   -1.43
1956   1   23.67    -.82   24.28   -1.33   27.26    -.88   25.32   -1.19
1956   2   24.78   -1.26   25.94    -.41   27.27    -.73   26.18    -.51
1956   3   25.76    -.72   26.49    -.60   27.13    -.96   26.37    -.78
1956   4   25.06    -.40   26.89    -.51   27.57    -.83   26.91    -.77
1956   5   23.30   -1.04   26.65    -.41   28.25    -.40   27.63    -.13
